# ---- session start 2026-06-19T14:00:10+0200  port=/dev/ttyACM0 baud=115200  fallback=GNSS ----
2026-06-19T14:00:11.949 BOOT
2026-06-19T14:00:13.450  
2026-06-19T14:00:13.453  
2026-06-19T14:00:13.455 >> CodeCell C6 v2.0.6 Booting.. 
2026-06-19T14:00:13.767 >> Initializing Sensors: Compass-Free Rotation Sensing Activated | 
2026-06-19T14:00:14.022 >> Reading Sensors:  Roll: 99.62°, Pitch: -98.40°, Yaw: -102.30° |
2026-06-19T14:00:14.025 >> Sampling Rate: 10Hz
2026-06-19T14:00:14.027 >> Power Status: Running from USB Power
2026-06-19T14:00:22.031 tasks started
2026-06-19T14:00:22.034 phi_deg,theta_deg,elev_deg,P_dBm,mv,cal
2026-06-19T14:00:22.036 waiting: haveP=1 haveAng=0 cal=3
2026-06-19T14:00:46.897 166.7,180.0,-105.4,32.68,1283, 3
2026-06-19T14:00:46.997 166.6,180.0,-105.4,31.88,1303, 3
2026-06-19T14:00:47.097 166.5,180.0,-105.5,31.36,1316, 3
2026-06-19T14:00:47.197 166.4,180.0,-105.7,30.24,1344, 3
2026-06-19T14:00:47.297 166.3,180.0,-105.7,31.00,1325, 3
2026-06-19T14:00:47.397 165.9,180.0,-105.9,30.88,1328, 3
2026-06-19T14:00:47.497 165.4,180.0,-106.0,30.00,1350, 3
2026-06-19T14:00:47.596 165.4,180.0,-106.0,28.28,1393, 3
2026-06-19T14:00:47.697 165.7,180.0,-105.9,29.88,1353, 3
2026-06-19T14:00:47.797 165.6,180.0,-105.6,29.88,1353, 3
2026-06-19T14:00:47.897 165.6,180.0,-105.6,29.04,1374, 3
2026-06-19T14:00:47.997 165.5,180.0,-105.5,29.64,1359, 3
2026-06-19T14:00:48.101 165.3,180.0,-105.6,28.04,1399, 3
2026-06-19T14:00:48.201 165.4,180.0,-105.3,29.56,1361, 3
2026-06-19T14:00:48.301 165.7,180.0,-105.3,29.28,1368, 3
2026-06-19T14:00:48.401 165.5,180.0,-105.5,28.44,1389, 3
2026-06-19T14:00:48.501 165.8,180.0,-105.4,28.88,1378, 3
2026-06-19T14:00:48.602 165.9,180.0,-105.4,29.80,1355, 3
# ---- session end   2026-06-19T14:00:48+0200  port=/dev/ttyACM0 baud=115200  fallback=GNSS ----
