# ---- session start 2026-06-19T14:15:36+0200  port=/dev/ttyACM0 baud=115200  fallback=GNSS ----
2026-06-19T14:15:43.503 tasks started
2026-06-19T14:15:43.506 phi_deg,theta_deg,elev_deg,P_dBm,mv,cal
2026-06-19T14:15:43.508 waiting: haveP=1 haveAng=0 cal=3
2026-06-19T14:16:09.168 256.7,180.0,-90.0,41.16,1071, 3
2026-06-19T14:16:09.268 255.2,180.0,-91.6,40.92,1077, 3
2026-06-19T14:16:09.368 256.5,180.0,-90.2,41.24,1069, 3
2026-06-19T14:16:09.468 256.2,180.0,-91.9,40.76,1081, 3
2026-06-19T14:16:09.573 258.5,180.0,-90.3,40.92,1077, 3
2026-06-19T14:16:09.673 260.0,179.9,-89.9,40.88,1078, 3
2026-06-19T14:16:09.773 261.5,179.3,-89.3,40.76,1081, 3
2026-06-19T14:16:09.873 263.5,178.4,-88.4,40.44,1089, 3
2026-06-19T14:16:09.973 263.3,180.0,-90.5,40.16,1096, 3
2026-06-19T14:16:10.072 264.8,180.0,-90.2,39.72,1107, 3
2026-06-19T14:16:10.172 264.9,180.0,-91.6,38.76,1131, 3
2026-06-19T14:16:10.272 266.1,180.0,-91.5,39.20,1120, 3
2026-06-19T14:16:10.372 267.0,180.0,-91.8,39.24,1119, 3
2026-06-19T14:16:10.474 268.8,180.0,-91.6,38.84,1129, 3
2026-06-19T14:16:10.573 271.1,180.0,-91.4,38.52,1137, 3
2026-06-19T14:16:10.672 273.8,180.0,-91.4,38.16,1146, 3
2026-06-19T14:16:10.773 276.9,180.0,-90.7,38.12,1147, 3
2026-06-19T14:16:10.873 277.4,180.0,-92.5,38.08,1148, 3
2026-06-19T14:16:10.972 279.7,180.0,-90.9,37.48,1163, 3
2026-06-19T14:16:11.072 278.8,180.0,-92.5,37.24,1169, 3
2026-06-19T14:16:11.173 279.9,180.0,-91.4,36.80,1180, 3
2026-06-19T14:16:11.273 279.4,180.0,-92.8,37.24,1169, 3
2026-06-19T14:16:11.373 281.6,180.0,-91.4,38.16,1146, 3
2026-06-19T14:16:11.473 282.9,180.0,-91.6,38.08,1148, 3
2026-06-19T14:16:11.578 284.5,180.0,-91.7,37.56,1161, 3
2026-06-19T14:16:11.679 285.5,180.0,-92.1,37.68,1158, 3
2026-06-19T14:16:11.778 286.0,180.0,-92.5,37.56,1161, 3
2026-06-19T14:16:11.878 287.9,180.0,-90.7,37.80,1155, 3
2026-06-19T14:16:11.978 288.4,180.0,-90.8,37.48,1163, 3
2026-06-19T14:16:12.077 290.0,180.0,-90.0,37.72,1157, 3
2026-06-19T14:16:12.178 291.3,180.0,-90.2,38.68,1133, 3
2026-06-19T14:16:12.278 292.9,180.0,-90.2,38.36,1141, 3
2026-06-19T14:16:12.378 294.5,180.0,-90.5,38.20,1145, 3
2026-06-19T14:16:12.478 295.3,180.0,-91.7,38.16,1146, 3
2026-06-19T14:16:12.579 296.2,180.0,-92.1,38.08,1148, 3
2026-06-19T14:16:12.678 297.2,180.0,-91.7,38.76,1131, 3
2026-06-19T14:16:12.778 297.6,180.0,-91.9,39.36,1116, 3
2026-06-19T14:16:12.878 298.2,180.0,-92.1,38.92,1127, 3
2026-06-19T14:16:12.978 298.5,180.0,-92.5,39.00,1125, 3
2026-06-19T14:16:13.078 300.6,180.0,-90.9,40.00,1100, 3
2026-06-19T14:16:13.178 301.3,180.0,-91.4,39.92,1102, 3
2026-06-19T14:16:13.278 304.3,179.6,-89.6,39.56,1111, 3
